Type;Active;Playable;Enumeration;Caption;Duration;Planned;Played;Filename;CutIn;CutOut;Schedule
Block;;;;PLANTÃO DA CIDADE BREAK 5;00:00:30;;;;;;
File;;;CO000006       ;COMERCIAL SHINERAY (COM MASCARA);00:00:30;;;D:\VIDEOS-PLAYDESK\COMERCIAL SHINERAY (COM MASCARA).MP4;;;
Block;;;;BLOCO PLANTÃO DA CIDADE;00:00:25;;;;;;
Block;;;;BLOCO ITATIAIA PATRULHA - BH;00:00:25;;;;;;
Block;;;;ITATIAIA PATRULHA - BH BREAK 1;00:02:00;;;;;;
File;;;CO000001       ;ALPHA MEN - VÍDEO - PEÇA A;00:00:30;;;D:\VIDEOS-PLAYDESK\ALPHA MEN - VÍDEO - PEÇA A.MP4;;;
File;;;CO000002       ;74 ANOS ITATIAIA - VIDEO MANIFESTO;00:01:00;;;D:\VIDEOS-PLAYDESK\74 ANOS ITATIAIA - VIDEO MANIFESTO.MP4;;;
File;;;CO000001       ;ALPHA MEN - VÍDEO - PEÇA A;00:00:30;;;D:\VIDEOS-PLAYDESK\ALPHA MEN - VÍDEO - PEÇA A.MP4;;;
Block;;;;BLOCO ITATIAIA PATRULHA - BH;00:00:30;;;;;;
Block;;;;ITATIAIA PATRULHA - BH BREAK 2;00:02:30;;;;;;
